FilePath, ChangeRate, AddLines, DeleteLines
lang/java/avro/src/main/java/org/apache/avro/reflect/FieldAccessor.java,3,59,4
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectData.java,37,632,206
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectDatumReader.java,14,258,86
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectDatumWriter.java,10,122,47
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectionUtil.java,4,138,12
lang/java/avro/src/main/java/org/apache/avro/specific/AvroGenerated.java,2,34,2
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificData.java,24,222,36
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificErrorBuilderBase.java,2,135,11
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificExceptionBase.java,4,30,5
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificFixed.java,4,48,7
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificRecordBuilderBase.java,2,57,4
lang/java/avro/src/main/java/org/apache/avro/util/ByteBufferOutputStream.java,1,2,2
lang/java/avro/src/main/java/org/apache/avro/util/Utf8.java,7,67,24
lang/java/avro/src/main/java/org/apache/avro/util/WeakIdentityHashMap.java,1,3,3
lang/java/avro/src/test/java/org/apache/avro/AvroTestUtil.java,2,34,12
lang/java/avro/src/test/java/org/apache/avro/FooBarSpecificRecord.java,6,451,60
lang/java/avro/src/test/java/org/apache/avro/GenerateBlockingData.java,2,11,9
lang/java/avro/src/test/java/org/apache/avro/RandomData.java,3,11,8
lang/java/avro/src/test/java/org/apache/avro/TestDataFile.java,11,165,48
lang/java/avro/src/test/java/org/apache/avro/TestDataFileConcat.java,3,14,6
lang/java/avro/src/test/java/org/apache/avro/TestDataFileCustomSync.java,2,92,1
lang/java/avro/src/test/java/org/apache/avro/TestProtocol.java,3,62,5
lang/java/avro/src/test/java/org/apache/avro/TestSchema.java,6,118,15
lang/java/avro/src/test/java/org/apache/avro/TestSchemaBuilder.java,4,962,234
lang/java/avro/src/test/java/org/apache/avro/TestSchemaNormalization.java,3,144,1
lang/java/avro/src/test/java/org/apache/avro/TypeEnum.java,4,32,3
lang/java/avro/src/test/java/org/apache/avro/data/RecordBuilderBaseTest.java,3,107,14
lang/java/avro/src/test/java/org/apache/avro/file/TestBZip2Codec.java,3,77,12
lang/java/avro/src/test/java/org/apache/avro/generic/TestGenericData.java,21,378,27
lang/java/avro/src/test/java/org/apache/avro/generic/TestGenericDatumWriter.java,5,220,12
lang/java/avro/src/test/java/org/apache/avro/generic/TestGenericRecordBuilder.java,4,127,15
lang/java/avro/src/test/java/org/apache/avro/io/LegacyBinaryEncoder.java,2,222,12
lang/java/avro/src/test/java/org/apache/avro/io/TestBinaryDecoder.java,6,86,53
lang/java/avro/src/test/java/org/apache/avro/io/TestBinaryEncoderFidelity.java,3,209,11
lang/java/avro/src/test/java/org/apache/avro/io/TestBlockingIO.java,3,13,11
lang/java/avro/src/test/java/org/apache/avro/io/TestBlockingIO2.java,3,8,6
lang/java/avro/src/test/java/org/apache/avro/io/TestEncoders.java,4,158,17
lang/java/avro/src/test/java/org/apache/avro/io/TestResolvingIO.java,4,16,11
lang/java/avro/src/test/java/org/apache/avro/io/TestResolvingIOResolving.java,3,20,7
lang/java/avro/src/test/java/org/apache/avro/io/TestValidatingIO.java,5,75,67
lang/java/avro/src/test/java/org/apache/avro/io/parsing/TestResolvingGrammarGenerator.java,3,66,7
lang/java/avro/src/test/java/org/apache/avro/io/parsing/TestResolvingGrammarGenerator2.java,3,145,2
lang/java/avro/src/test/java/org/apache/avro/reflect/TestByteBuffer.java,1,2,2
lang/java/avro/src/test/java/org/apache/avro/reflect/TestNonStringMapKeys.java,2,525,16
lang/java/avro/src/test/java/org/apache/avro/reflect/TestReflect.java,10,454,86
lang/java/avro/src/test/java/org/apache/avro/reflect/TestReflectionUtil.java,2,81,2
lang/java/avro/src/test/java/org/apache/avro/util/CaseFinder.java,2,212,1
lang/java/avro/src/test/java/org/apache/avro/util/TestUtf8.java,2,21,2
lang/java/compiler/src/main/java/org/apache/avro/compiler/specific/ProtocolTask.java,2,23,9
lang/java/compiler/src/test/java/org/apache/avro/compiler/idl/TestIdl.java,4,37,11
lang/java/ipc/src/main/java/org/apache/avro/ipc/CallFuture.java,2,178,16
lang/java/ipc/src/main/java/org/apache/avro/ipc/Callback.java,3,43,4
lang/java/ipc/src/main/java/org/apache/avro/ipc/DatagramServer.java,1,1,1
lang/java/ipc/src/main/java/org/apache/avro/ipc/HttpTransceiver.java,3,28,6
lang/java/ipc/src/main/java/org/apache/avro/ipc/NettyServer.java,9,135,69
lang/java/ipc/src/main/java/org/apache/avro/ipc/NettyTransceiver.java,15,688,301
lang/java/ipc/src/main/java/org/apache/avro/ipc/NettyTransportCodec.java,2,40,21
lang/java/ipc/src/main/java/org/apache/avro/ipc/RPCContext.java,3,74,54
lang/java/ipc/src/main/java/org/apache/avro/ipc/RPCPlugin.java,1,8,8
lang/java/ipc/src/main/java/org/apache/avro/ipc/Requestor.java,12,455,164
lang/java/ipc/src/main/java/org/apache/avro/ipc/Responder.java,11,53,42
lang/java/ipc/src/main/java/org/apache/avro/ipc/SaslSocketTransceiver.java,3,21,7
lang/java/ipc/src/main/java/org/apache/avro/ipc/Server.java,1,2,2
lang/java/ipc/src/main/java/org/apache/avro/ipc/SocketServer.java,4,5,4
lang/java/ipc/src/main/java/org/apache/avro/ipc/SocketTransceiver.java,1,1,1
lang/java/ipc/src/main/java/org/apache/avro/ipc/Transceiver.java,3,45,8
lang/java/ipc/src/main/java/org/apache/avro/ipc/generic/GenericResponder.java,3,28,7
lang/java/ipc/src/main/java/org/apache/avro/ipc/reflect/ReflectRequestor.java,3,36,20
lang/java/ipc/src/main/java/org/apache/avro/ipc/reflect/ReflectResponder.java,3,17,7
lang/java/ipc/src/main/java/org/apache/avro/ipc/specific/SpecificRequestor.java,6,148,60
lang/java/ipc/src/main/java/org/apache/avro/ipc/specific/SpecificResponder.java,4,34,35
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/Histogram.java,1,11,11
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/StaticServlet.java,1,2,2
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/StatsPlugin.java,1,19,19
